#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
28099-1-179,.28099_1_179.5,218951,219826,-,blaCTX-M-14b_1,1-876/876,===============,0/0,100,100,resfinder,DQ359215,blaCTX-M-14b,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-179,.28099_1_179.57,1042,1902,-,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
28099-1-179,.28099_1_179.9,27495,28727,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
28099-1-180,.28099_1_180.4,242289,243521,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
28099-1-180,.28099_1_180.40,3846,4721,-,blaCTX-M-65_1,1-876/876,===============,0/0,100,100,resfinder,EF418608,blaCTX-M-65,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-180,.28099_1_180.55,2202,2699,+,dfrA12_8,1-498/498,===============,0/0,100,100,resfinder,AM040708,dfrA12,Trimethoprim
28099-1-180,.28099_1_180.55,3097,3898,+,aadA2_1,18-819/819,===============,0/0,97.92,100,resfinder,NC_010870,aadA2,Streptomycin
28099-1-180,.28099_1_180.55,4160,5419,+,cmlA1_1,1-1260/1260,===============,0/0,100,99.92,resfinder,M64556,cmlA1,Chloramphenicol
28099-1-180,.28099_1_180.55,5502,6303,+,ant(3'')-Ia_1,171-972/972,..=============,0/0,82.51,99.75,resfinder,X02340,ant(3'')-Ia,Streptomycin
28099-1-180,.28099_1_180.55,7985,8776,-,sul3_2,1-792/792,===============,0/0,100,100,resfinder,AJ459418,sul3,Sulfamethoxazole
28099-1-180,.28099_1_180.55,10537,11766,-,mef(B)_1,1-1230/1230,===============,0/0,100,100,resfinder,FJ196385,mef(B),Erythromycin;Azithromycin
28099-1-180,.28099_1_180.69,483,1349,+,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
28099-1-180,.28099_1_180.69,6644,7565,-,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
28099-1-180,.28099_1_180.71,2993,3829,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-180,.28099_1_180.71,4179,4661,-,dfrA14_5,1-483/483,===============,0/0,100,99.79,resfinder,DQ388123,dfrA14,Trimethoprim
28099-1-180,.28099_1_180.71,4669,5200,-,aph(3'')-Ib_5,1-532/804,==========.....,0/0,66.17,99.81,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-180,.28099_1_180.71,5261,6076,-,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-180,.28099_1_180.73,3695,4555,-,blaSHV-12_1,1-861/861,===============,0/0,100,99.88,resfinder,KF976405,blaSHV-12,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-180,.28099_1_180.79,2769,3629,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
28099-1-180,.28099_1_180.79,3799,4554,+,rmtB_1,1-756/756,===============,0/0,100,100,resfinder,AB103506,rmtB,Amikacin;Gentamicin;Tobramycin
28099-1-180,.28099_1_180.88,139,612,+,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-180,.28099_1_180.88,743,1531,+,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-180,.28099_1_180.89,976,2181,-,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
28099-1-180,.28099_1_180.98,1956,2372,-,fosA3_1,1-417/417,===============,0/0,100,100,resfinder,AB522970,fosA3,Fosfomycin
28099-1-181,.28099_1_181.3,240183,241415,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
28099-1-181,.28099_1_181.52,1868,3073,+,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
28099-1-181,.28099_1_181.75,3018,3854,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-181,.28099_1_181.75,3854,4657,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-181,.28099_1_181.75,4718,5533,-,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-181,.28099_1_181.79,1765,2238,+,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-181,.28099_1_181.79,2369,3157,+,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-181,.28099_1_181.79,3677,4543,+,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
28099-1-181,.28099_1_181.82,2763,3638,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-181,.28099_1_181.88,212,1133,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
28099-1-181,.28099_1_181.91,1838,2698,-,aac(3)-IIa_1,1-861/861,===============,0/0,100,99.77,resfinder,X51534,aac(3)-IIa,Gentamicin;Tobramycin
28099-1-181,.28099_1_181.93,187,786,+,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
28099-1-181,.28099_1_181.93,917,1747,+,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
28099-1-181,.28099_1_181.93,1885,2329,+,catB3_1,1-445/633,===========....,0/0,70.3,99.78,resfinder,AJ009818,catB3,Chloramphenicol
28099-1-185,.28099_1_185.2,71792,73024,-,mdf(A)_1,1-1233/1233,===============,0/0,100,97.81,resfinder,Y08743,mdf(A),
28099-1-185,.28099_1_185.42,431,1352,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
28099-1-185,.28099_1_185.42,6647,7513,-,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
28099-1-185,.28099_1_185.42,8033,8821,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-185,.28099_1_185.42,8952,9425,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-185,.28099_1_185.45,2533,3408,+,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-185,.28099_1_185.49,1561,2807,-,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
28099-1-185,.28099_1_185.56,607,1422,+,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-185,.28099_1_185.56,1483,2286,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-185,.28099_1_185.56,2286,3122,+,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-185,.28099_1_185.61,169,1029,+,aac(3)-IIa_1,1-861/861,===============,0/0,100,99.77,resfinder,X51534,aac(3)-IIa,Gentamicin;Tobramycin
28099-1-185,.28099_1_185.65,172,771,+,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
28099-1-185,.28099_1_185.65,902,1732,+,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
28099-1-185,.28099_1_185.65,1870,2314,+,catB3_1,1-445/633,===========....,0/0,70.3,99.78,resfinder,AJ009818,catB3,Chloramphenicol
28099-1-187,.28099_1_187.28,7005,8150,+,blaCMY-2_1,1-1146/1146,===============,0/0,100,100,resfinder,X91840,blaCMY-2,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
28099-1-187,.28099_1_187.43,1060,1926,-,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
28099-1-187,.28099_1_187.43,2446,3234,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-187,.28099_1_187.43,3365,3838,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-187,.28099_1_187.46,2757,3617,-,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
28099-1-187,.28099_1_187.47,215,1051,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-187,.28099_1_187.47,1051,1854,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-187,.28099_1_187.47,1915,2730,-,sul2_3,1-816/816,===============,0/0,100,100,resfinder,HQ840942,sul2,Sulfamethoxazole
28099-1-187,.28099_1_187.49,3262,4183,-,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
28099-1-187,.28099_1_187.5,208726,209958,-,mdf(A)_1,1-1233/1233,===============,0/0,100,98.78,resfinder,Y08743,mdf(A),
28099-1-187,.28099_1_187.50,536,1411,+,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-187,.28099_1_187.51,947,2152,+,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
28099-1-187,.28099_1_187.52,150,1010,-,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
28099-1-187,.28099_1_187.53,204,648,-,catB3_1,1-445/633,===========....,0/0,70.3,99.78,resfinder,AJ009818,catB3,Chloramphenicol
28099-1-187,.28099_1_187.53,786,1616,-,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
28099-1-187,.28099_1_187.53,1747,2346,-,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
28099-1-188,.28099_1_188.1,71778,73010,-,mdf(A)_1,1-1233/1233,===============,0/0,100,97.81,resfinder,Y08743,mdf(A),
28099-1-188,.28099_1_188.34,535,1456,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
28099-1-188,.28099_1_188.34,6751,7617,-,sul1_5,1-867/867,===============,0/0,100,99.89,resfinder,EU780013,sul1,Sulfamethoxazole
28099-1-188,.28099_1_188.34,8137,8925,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-188,.28099_1_188.34,9056,9529,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-188,.28099_1_188.35,2132,3378,+,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
28099-1-188,.28099_1_188.37,2533,3408,+,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-188,.28099_1_188.41,607,1422,+,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-188,.28099_1_188.41,1483,2286,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-188,.28099_1_188.41,2286,3122,+,aph(6)-Id_1,1-837/837,===============,0/0,100,99.88,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-188,.28099_1_188.43,169,1029,+,aac(3)-IIa_1,1-861/861,===============,0/0,100,99.77,resfinder,X51534,aac(3)-IIa,Gentamicin;Tobramycin
28099-1-188,.28099_1_188.45,172,771,+,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
28099-1-188,.28099_1_188.45,902,1732,+,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
28099-1-188,.28099_1_188.45,1870,2314,+,catB3_1,1-445/633,===========....,0/0,70.3,99.78,resfinder,AJ009818,catB3,Chloramphenicol
28099-1-189,.28099_1_189.11,101255,102487,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.03,resfinder,Y08743,mdf(A),
28099-1-189,.28099_1_189.111,349,1003,+,catA1_1,1-655/660,===============,0/0,99.24,99.85,resfinder,V00622,catA1,Chloramphenicol
28099-1-189,.28099_1_189.29,3662,4477,+,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-189,.28099_1_189.29,4538,5341,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-189,.28099_1_189.29,5341,6177,+,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-189,.28099_1_189.29,6898,7758,-,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
28099-1-189,.28099_1_189.29,10580,11455,+,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-189,.28099_1_189.29,20315,20797,-,dfrA14_5,1-483/483,===============,0/0,100,99.59,resfinder,DQ388123,dfrA14,Trimethoprim
28099-1-189,.28099_1_189.43,4592,5236,+,qnrB1_1,1-645/645,===============,0/0,100,100,resfinder,DQ351241,qnrB1,Ciprofloxacin
28099-1-189,.28099_1_189.61,1206,2474,-,tet(A)_6,1-1247/1275,========/======,Jan-22,97.8,93.22,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
28099-1-189,.28099_1_189.77,1822,2682,-,aac(3)-IIa_1,1-861/861,===============,0/0,100,99.77,resfinder,X51534,aac(3)-IIa,Gentamicin;Tobramycin
28099-1-189,.28099_1_189.78,1654,2618,+,ant(3'')-Ia_1,1-972/972,========/======,03-Jul,99.28,99.07,resfinder,X02340,ant(3'')-Ia,Streptomycin
28099-1-189,.28099_1_189.87,123,567,-,catB3_1,1-445/633,===========....,0/0,70.3,99.78,resfinder,AJ009818,catB3,Chloramphenicol
28099-1-189,.28099_1_189.87,705,1535,-,blaOXA-1_1,1-831/831,===============,0/0,100,100,resfinder,HQ170510,blaOXA-1,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Piperacillin;Piperacillin+Tazobactam
28099-1-189,.28099_1_189.87,1666,2265,-,aac(6')-Ib-cr_1,1-600/600,===============,0/0,100,100,resfinder,DQ303918,aac(6')-Ib-cr,Ciprofloxacin
28099-1-18,.28099_1_18.24,707,1567,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
28099-1-18,.28099_1_18.33,33840,34715,-,blaCTX-M-14b_1,1-876/876,===============,0/0,100,99.89,resfinder,DQ359215,blaCTX-M-14b,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-18,.28099_1_18.33,39472,40131,-,catA1_1,1-660/660,===============,0/0,100,99.85,resfinder,V00622,catA1,Chloramphenicol
28099-1-18,.28099_1_18.4,208686,209918,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
28099-1-18,.28099_1_18.70,1652,2857,-,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
28099-1-18,.28099_1_18.72,134,970,-,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-18,.28099_1_18.72,970,1773,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-18,.28099_1_18.72,1834,2649,-,sul2_3,1-816/816,===============,0/0,100,100,resfinder,HQ840942,sul2,Sulfamethoxazole
28099-1-18,.28099_1_18.73,417,1338,+,mph(A)_2,1-921/921,========/======,01-Jan,100,99.67,resfinder,U36578,mph(A),Erythromycin;Azithromycin;Spiramycin;Telithromycin
28099-1-18,.28099_1_18.74,126,687,-,sul1_5,1-562/867,==========.....,0/0,64.82,99.82,resfinder,EU780013,sul1,Sulfamethoxazole
28099-1-18,.28099_1_18.74,1207,1995,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-18,.28099_1_18.74,2126,2599,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-18,.28099_1_18.76,161,1021,+,aac(3)-IId_1,1-861/861,===============,0/0,100,99.88,resfinder,EU022314,aac(3)-IId,Gentamicin;Tobramycin
28099-1-191,.28099_1_191.2,547930,549162,+,mdf(A)_1,1-1233/1233,===============,0/0,100,98.05,resfinder,Y08743,mdf(A),
28099-1-191,.28099_1_191.24,20725,21600,+,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-191,.28099_1_191.24,26241,26897,+,qnrS1_1,1-657/657,===============,0/0,100,100,resfinder,AB187515,qnrS1,Ciprofloxacin
28099-1-191,.28099_1_191.34,3857,4672,+,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-191,.28099_1_191.34,4733,5264,+,aph(3'')-Ib_5,1-532/804,==========.....,0/0,66.17,99.81,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-191,.28099_1_191.34,5272,5754,+,dfrA14_5,1-483/483,===============,0/0,100,99.79,resfinder,DQ388123,dfrA14,Trimethoprim
28099-1-191,.28099_1_191.34,6104,6912,+,aph(6)-Id_1,1-809/837,===============,0/0,96.65,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-192,.28099_1_192.1,208551,209353,+,aph(3'')-Ib_2,2-804/804,===============,0/0,99.88,99.88,resfinder,AF024602,aph(3'')-Ib,Streptomycin
28099-1-192,.28099_1_192.1,209353,210189,+,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-192,.28099_1_192.100,3942,4757,-,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-192,.28099_1_192.112,399,1274,+,blaCTX-M-14_1,1-876/876,===============,0/0,100,100,resfinder,AF252622,blaCTX-M-14,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-192,.28099_1_192.112,1886,2302,+,fosA3_1,1-417/417,===============,0/0,100,100,resfinder,AB522970,fosA3,Fosfomycin
28099-1-192,.28099_1_192.115,200,991,-,sul3_2,1-792/792,===============,0/0,100,100,resfinder,AJ459418,sul3,Sulfamethoxazole
28099-1-192,.28099_1_192.125,264,1052,-,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-192,.28099_1_192.125,1183,1656,-,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-192,.28099_1_192.23,80334,81566,+,mdf(A)_1,1-1233/1233,===============,0/0,100,98.78,resfinder,Y08743,mdf(A),
28099-1-192,.28099_1_192.92,1744,2545,-,ant(3'')-Ia_1,171-972/972,..=============,0/0,82.51,99.75,resfinder,X02340,ant(3'')-Ia,Streptomycin
28099-1-192,.28099_1_192.92,2628,3887,-,cmlA1_1,1-1260/1260,===============,0/0,100,99.92,resfinder,M64556,cmlA1,Chloramphenicol
28099-1-192,.28099_1_192.92,4149,4950,-,aadA2_1,18-819/819,===============,0/0,97.92,99.88,resfinder,NC_010870,aadA2,Streptomycin
28099-1-193,.28099_1_193.2,146056,147288,+,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
28099-1-193,.28099_1_193.2,388775,389578,-,aph(3'')-Ib_5,1-804/804,===============,0/0,100,99.88,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-193,.28099_1_193.2,389639,390454,-,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-193,.28099_1_193.2,393608,394483,-,blaCTX-M-14b_1,1-876/876,===============,0/0,100,100,resfinder,DQ359215,blaCTX-M-14b,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-193,.28099_1_193.38,275,784,+,dfrA8_1,1-510/510,===============,0/0,100,100,resfinder,U10186,dfrA8,Trimethoprim
28099-1-193,.28099_1_193.54,1042,1902,-,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
28099-1-195,.28099_1_195.5,208689,209921,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
28099-1-195,.28099_1_195.58,3721,4536,+,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-195,.28099_1_195.58,4597,5400,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,100,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-195,.28099_1_195.58,5400,6236,+,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-195,.28099_1_195.58,7215,8461,+,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
28099-1-195,.28099_1_195.63,392,1155,+,erm(B)_18,1-762/762,========/======,02-Feb,100,98.95,resfinder,X66468,erm(B),Erythromycin;Lincomycin;Clindamycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S
28099-1-195,.28099_1_195.65,1145,2686,+,qepA1_1,1-1536/1536,========/======,01-Jun,100,99.61,resfinder,AB263754,qepA1,Ciprofloxacin
28099-1-195,.28099_1_195.70,556,1431,+,blaCTX-M-27_1,1-876/876,===============,0/0,100,100,resfinder,AY156923,blaCTX-M-27,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-195,.28099_1_195.72,219,701,-,dfrA14_5,1-483/483,===============,0/0,100,99.79,resfinder,DQ388123,dfrA14,Trimethoprim
28099-1-196,.28099_1_196.2,96036,97268,-,mdf(A)_1,1-1233/1233,===============,0/0,100,99.92,resfinder,Y08743,mdf(A),
28099-1-196,.28099_1_196.52,3439,4685,-,tet(A)_6,1-1247/1275,===============,0/0,97.8,100,resfinder,AF534183,tet(A),Doxycycline;Tetracycline
28099-1-196,.28099_1_196.52,8639,9514,-,blaCTX-M-15_1,1-876/876,===============,0/0,100,100,resfinder,AY044436,blaCTX-M-15,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
28099-1-196,.28099_1_196.52,12336,13196,+,blaTEM-1B_1,1-861/861,===============,0/0,100,100,resfinder,AY458016,blaTEM-1B,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
28099-1-196,.28099_1_196.52,13338,14198,+,aac(3)-IIa_1,1-861/861,===============,0/0,100,100,resfinder,X51534,aac(3)-IIa,Gentamicin;Tobramycin
28099-1-196,.28099_1_196.64,3687,4502,+,sul2_2,1-816/816,===============,0/0,100,100,resfinder,AY034138,sul2,Sulfamethoxazole
28099-1-196,.28099_1_196.64,4563,5366,+,aph(3'')-Ib_5,1-804/804,===============,0/0,100,99.88,resfinder,AF321551,aph(3'')-Ib,Streptomycin
28099-1-196,.28099_1_196.64,5366,6202,+,aph(6)-Id_1,1-837/837,===============,0/0,100,100,resfinder,M28829,aph(6)-Id,Streptomycin
28099-1-196,.28099_1_196.67,2508,3713,-,tet(B)_2,1-1206/1206,===============,0/0,100,100,resfinder,AF326777,tet(B),Doxycycline;Tetracycline;Minocycline
28099-1-196,.28099_1_196.68,144,617,+,dfrA17_1,1-474/474,===============,0/0,100,100,resfinder,FJ460238,dfrA17,Trimethoprim
28099-1-196,.28099_1_196.68,748,1536,+,aadA5_1,1-789/789,===============,0/0,100,100,resfinder,AF137361,aadA5,Streptomycin
28099-1-196,.28099_1_196.68,2056,2922,+,sul1_5,1-867/867,===============,0/0,100,99.77,resfinder,EU780013,sul1,Sulfamethoxazole
