,gene_accession,Class,Phenotype,Mechanism of resistance,gene,accession
698,blaOXA-441_1_JX865394,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-441_1,JX865394
699,blaOXA-442_1_KP844571,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-442_1,KP844571
700,blaOXA-443_1_LC030178,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-443_1,LC030178
701,blaOXA-444_1_CP010800,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-444_1,CP010800
702,blaOXA-446_1_KR061495,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-446_1,KR061495
703,blaOXA-447_1_KR061496,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-447_1,KR061496
704,blaOXA-448_1_KR061497,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-448_1,KR061497
705,blaOXA-449_1_KR061498,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-449_1,KR061498
706,blaOXA-450_1_KR061502,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-450_1,KR061502
707,blaOXA-451_1_KR061504,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-451_1,KR061504
708,blaOXA-452_1_KR061505,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-452_1,KR061505
709,blaOXA-453_1_KR061507,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-453_1,KR061507
710,blaOXA-454_1_LC037981,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-454_1,LC037981
711,blaOXA-455_1_KP903885,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-455_1,KP903885
712,blaOXA-457_1_KP903887,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-457_1,KP903887
713,blaOXA-458_1_KP903888,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-458_1,KP903888
714,blaOXA-459_1_KP903889,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-459_1,KP903889
715,blaOXA-460_1_KR061508,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-460_1,KR061508
716,blaOXA-461_1_KR061509,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-461_1,KR061509
717,blaOXA-464_1_KU721146,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-464_1,KU721146
718,blaOXA-465_1_KR061500,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-465_1,KR061500
719,blaOXA-466_1_KR061501,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-466_1,KR061501
720,blaOXA-470_1_KR182163,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-470_1,KR182163
721,blaOXA-471_1_EU086833,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-471_1,EU086833
722,blaOXA-472_1_KR182165,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-472_1,KR182165
723,blaOXA-473_1_KR182166,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-473_1,KR182166
724,blaOXA-474_1_KR182167,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-474_1,KR182167
725,blaOXA-475_1_KR182168,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-475_1,KR182168
726,blaOXA-476_1_KR182169,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-476_1,KR182169
727,blaOXA-477_1_KR182170,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-477_1,KR182170
728,blaOXA-478_1_KR182171,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-478_1,KR182171
729,blaOXA-479_1_KR182172,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-479_1,KR182172
730,blaOXA-480_1_KR872296,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-480_1,KR872296
731,blaOXA-482_1_KP264124,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-482_1,KP264124
732,blaOXA-483_1_KP264125,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-483_1,KP264125
733,blaOXA-484_1_KR401105,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-484_1,KR401105
734,blaOXA-485_1_LLNM01000004,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-485_1,LLNM01000004
735,blaOXA-486_1_AY597426,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-486_1,AY597426
736,blaOXA-488_1_CP017969,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-488_1,CP017969
737,blaOXA-489_1_CP013733,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-489_1,CP013733
738,blaOXA-490_1_KU721147,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-490_1,KU721147
739,blaOXA-491_1_KU721148,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-491_1,KU721148
740,blaOXA-493_1_KU739135,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-493_1,KU739135
741,blaOXA-494_1_AY597430,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-494_1,AY597430
742,blaOXA-496_1_KT200608,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-496_1,KT200608
743,blaOXA-497_1_LKJZ01000136,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-497_1,LKJZ01000136
744,blaOXA-499_1_KT964029,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-499_1,KT964029
745,blaOXA-500_1_JMNQ01000002,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-500_1,JMNQ01000002
746,blaOXA-501_1_KU167110,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-501_1,KU167110
747,blaOXA-502_1_KU167111,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-502_1,KU167111
748,blaOXA-503_1_KU167109,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-503_1,KU167109
749,blaOXA-505_1_KU531433,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-505_1,KU531433
750,blaOXA-506_1_KU571454,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-506_1,KU571454
751,blaOXA-507_1_KU551305,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-507_1,KU551305
752,blaOXA-508_1_KU596972,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-508_1,KU596972
753,blaOXA-509_1_KU692025,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-509_1,KU692025
754,blaOXA-510_1_JX865393,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-510_1,JX865393
755,blaOXA-511_1_KU710720,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-511_1,KU710720
756,blaOXA-512_1_KU726870,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-512_1,KU726870
757,blaOXA-513_1_KU323972,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-513_1,KU323972
758,blaOXA-514_1_KU866382,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-514_1,KU866382
759,blaOXA-515_1_KU866383,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-515_1,KU866383
760,blaOXA-516_1_KU871391,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-516_1,KU871391
761,blaOXA-517_1_KU878974,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-517_1,KU878974
762,blaOXA-518_1_KU739134,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-518_1,KU739134
763,blaOXA-519_1_KX349732,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ertapenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin",Enzymatic inactivation,blaOXA-519_1,KX349732
764,blaOXA-520_1_KX388630,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-520_1,KX388630
765,blaOXA-521_1_KX462701,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-521_1,KX462701
766,blaOXA-522_1_KX599408,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-522_1,KX599408
767,blaOXA-523_1_KX599401,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-523_1,KX599401
768,blaOXA-524_1_KX599402,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-524_1,KX599402
769,blaOXA-525_1_KX599406,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-525_1,KX599406
770,blaOXA-526_1_KX599409,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-526_1,KX599409
771,blaOXA-527_1_KX599404,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-527_1,KX599404
772,blaOXA-528_1_KX599407,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-528_1,KX599407
773,blaOXA-529_1_KX599405,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-529_1,KX599405
774,blaOXA-530_1_KX599398,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-530_1,KX599398
775,blaOXA-531_1_KX599400,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-531_1,KX599400
776,blaOXA-532_1_KX609247,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-532_1,KX609247
777,blaOXA-533_1_KX668472,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-533_1,KX668472
778,blaOXA-534_1_KX714285,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-534_1,KX714285
779,blaOXA-535_1_KX828709,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-535_1,KX828709
780,blaOXA-536_1_KX859240,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-536_1,KX859240
781,blaOXA-537_1_KX360747,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-537_1,KX360747
782,blaOXA-538_1_KX827284,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-538_1,KX827284
783,blaOXA-539_1_KY094077,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ceftazidime, Ceftazidime+Avibactam, Piperacillin",Enzymatic inactivation,blaOXA-539_1,KY094077
784,blaOXA-540_1_KJ138219,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-540_1,KJ138219
785,blaOXA-541_1_FM179467,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-541_1,FM179467
786,blaOXA-545_1_KY674541,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-545_1,KY674541
787,blaOXA-546_1_KY682756,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-546_1,KY682756
788,blaOXA-547_1_KY684124,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-547_1,KY684124
789,blaOXA-548_1_KY682750,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-548_1,KY682750
790,blaOXA-549_1_KY682751,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-549_1,KY682751
791,blaOXA-550_1_KY682752,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-550_1,KY682752
792,blaOXA-551_1_KY682753,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-551_1,KY682753
793,blaOXA-552_1_KY682754,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-552_1,KY682754
794,blaOXA-553_1_KY682755,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-553_1,KY682755
795,blaOXA-554_1_KY126221,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-554_1,KY126221
796,blaOXA-555_1_KY126224,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-555_1,KY126224
797,blaOXA-556_1_KY126231,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-556_1,KY126231
798,blaOXA-557_1_KY126232,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-557_1,KY126232
799,blaOXA-558_1_KY126234,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-558_1,KY126234
800,blaOXA-559_1_KY126237,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-559_1,KY126237
801,blaOXA-560_1_KY126238,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-560_1,KY126238
802,blaOXA-561_1_KY126240,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-561_1,KY126240
803,blaOXA-562_1_KY126241,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-562_1,KY126241
804,blaOXA-563_1_KY767021,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-563_1,KY767021
805,blaOXA-564_1_KY767022,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-564_1,KY767022
806,blaOXA-565_1_KY883665,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-565_1,KY883665
807,blaOXA-566_1_MF099636,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-566_1,MF099636
808,blaZ_1_CP000704,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_1,CP000704
809,blaZ_2_CP000731,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_2,CP000731
810,blaZ_3_CP000732,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_3,CP000732
811,blaZ_4_X04121,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_4,X04121
812,blaZ_5_AJ302698,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_5,AJ302698
813,blaZ_6_AP003139,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_6,AP003139
814,blaZ_7_AP004832,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_7,AP004832
815,blaZ_8_HE993884,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_8,HE993884
816,blaZ_9_DQ269019,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_9,DQ269019
817,blaZ_10_FR823292,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_10,FR823292
818,blaZ_11_AJ400722,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_11,AJ400722
819,blaZ_12_M15195,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_12,M15195
820,blaZ_13_KF471116,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_13,KF471116
821,blaZ_14_JBAG01000015,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_14,JBAG01000015
822,blaZ_15_JAZQ01000018,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_15,JAZQ01000018
823,blaZ_16_JBTH01000015,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_16,JBTH01000015
824,blaZ_17_JDDF01000008,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_17,JDDF01000008
825,blaZ_18_JBQW01000016,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_18,JBQW01000016
826,blaZ_19_JBMK01000007,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_19,JBMK01000007
827,blaZ_20_JBVX01000014,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_20,JBVX01000014
828,blaZ_21_JGQH01000014,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_21,JGQH01000014
829,blaZ_22_JCHI01000035,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_22,JCHI01000035
830,blaZ_23_JBND01000015,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_23,JBND01000015
831,blaZ_24_JBLQ01000018,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_24,JBLQ01000018
832,blaZ_25_JBKK01000017,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_25,JBKK01000017
833,blaZ_26_JBJP01000007,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_26,JBJP01000007
834,blaZ_27_JDGZ01000043,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_27,JDGZ01000043
835,blaZ_28_JDYO01000009,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_28,JDYO01000009
836,blaZ_29_JDXN01000019,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_29,JDXN01000019
837,blaZ_30_JGUQ01000012,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_30,JGUQ01000012
838,blaZ_31_JIFU01000008,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_31,JIFU01000008
839,blaZ_32_JINH01000005,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_32,JINH01000005
840,blaZ_33_JIXQ01000012,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_33,JIXQ01000012
841,blaZ_34_JJAO01000008,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_34,JJAO01000008
842,blaZ_35_JIVZ01000012,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_35,JIVZ01000012
843,blaZ_36_JITV01000006,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_36,JITV01000006
844,blaZ_37_JIFD01000012,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_37,JIFD01000012
845,blaZ_38_NZ_JEMM01000040,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_38,JEMM01000040
846,blaZ_39_JHTU01000073,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_39,JHTU01000073
847,blaZ_40_NZ_AZBT01000050,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_40,AZBT01000050
848,blaZ_41_AENR01000015,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_41,AENR01000015
849,blaZ_42_CCEE01000006,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_42,CCEE01000006
850,blaZ_43_NZ_CAVU010000015,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_43,CAVU010000015
851,blaZ_44_NZ_JWJJ01000015,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_44,JWJJ01000015
852,blaZ_45_CP010941,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_45,CP010941
853,blaZ_46_CP010944,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_46,CP010944
854,blaZ_47_NZ_JYGF01000020,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_47,JYGF01000020
855,blaZ_48_CFPA01000022,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_48,CFPA01000022
856,blaZ_49_CVLS01000543,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_49,CVLS01000543
857,blaZ_50_KR230047,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_50,KR230047
858,blaZ_51_NZ_JVWO01000108,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_51,JVWO01000108
859,blaZ_52_NZ_JVWM01000127,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_52,JVWM01000127
860,blaZ_53_NZ_JUXQ01000001,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_53,JUXQ01000001
861,blaZ_54_NZ_JVRB01000003,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_54,JVRB01000003
862,blaZ_55_NZ_JVLY01000044,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_55,JVLY01000044
863,blaZ_56_NZ_JUMU01000089,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_56,JUMU01000089
864,blaZ_57_NZ_JURP01000126,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_57,JURP01000126
865,blaZ_58_NZ_JUUA01000057,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_58,JUUA01000057
866,blaZ_59_NZ_JVBT01000063,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_59,JVBT01000063
867,blaZ_60_NZ_JVML01000111,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_60,JVML01000111
868,blaZ_61_NZ_JVAT01000021,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_61,JVAT01000021
869,blaZ_62_NZ_JVOH01000023,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_62,JVOH01000023
870,blaZ_63_NZ_JUMX01000103,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_63,JUMX01000103
871,blaZ_64_CSJB01000017,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_64,CSJB01000017
872,blaZ_65_CSEV01000005,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_65,CSEV01000005
873,blaZ_66_CSGM01000014,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_66,CSGM01000014
874,blaZ_67_NZ_CTTL01000039,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_67,CTTL01000039
875,blaZ_68_NZ_CUHK01000055,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_68,CUHK01000055
876,blaZ_69_NZ_CUHB01000033,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_69,CUHB01000033
877,blaZ_70_NZ_CUEK01000047,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_70,CUEK01000047
878,blaZ_71_NZ_CUGR01000082,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_71,CUGR01000082
879,blaZ_72_NZ_CUHG01000035,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_72,CUHG01000035
880,blaZ_73_CYNA01000004,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_73,CYNA01000004
881,blaZ_74_CZWI01000159,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_74,CZWI01000159
882,blaZ_75_LNTF01000008,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_75,LNTF01000008
883,blaZ_76_FFOR01000002,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_76,FFOR01000002
884,blaZ_77_FGNH01000009,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_77,FGNH01000009
885,blaZ_78_KU607301,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_78,KU607301
886,blaZ_79_KU607584,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_79,KU607584
887,blaZ_80_KU607855,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_80,KU607855
888,blaZ_81_FGJZ01000020,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_81,FGJZ01000020
889,blaZ_82_FGSJ01000003,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_82,FGSJ01000003
890,blaZ_83_FGWO01000019,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_83,FGWO01000019
891,blaZ_84_FHDH01000010,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_84,FHDH01000010
892,blaZ_85_NZ_FHDT01000016,Beta-lactam,"Amoxicillin, Ampicillin, Penicillin, Piperacillin",Enzymatic inactivation,blaZ_85,FHDT01000016
